Recipe Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
"Orecchiette & Cannellini Beans w/ Pesto",252,8.9g,1.1g,0g,27.4mg,971.9mg,35.9g,5.1g,2.7g,8.2g
"Spiralini w/ Sausage & Peppers",314,15.6g,8.4g,0.4g,59.4mg,467.8mg,30.7g,2g,2.5g,12.2g
"Smoked Chicken & Pesto Pizza",285,16.9g,4.3g,0.1g,36.8mg,422.2mg,23.4g,1.6g,1.4g,11.8g
"Cheese Pizza",156,5.6g,1.8g,0g,8.4mg,347.4mg,21.2g,1g,0.4g,7.1g
"Pepperoni Pizza",195,8.5g,3.8g,0.1g,21.7mg,489.3mg,21.2g,0.9g,0.4g,9.7g
"Caesar Salad",127,8.3g,1.9g,0g,4.7mg,299.8mg,8.8g,0.6g,0.5g,4.3g
"Mediterranean Garden Salad",56,5g,0.9g,0g,1.6mg,209.5mg,2.7g,0.7g,0.9g,0.9g
"Beef Lavash",143,9.4g,2.7g,0g,11.2mg,304.8mg,10.3g,9.5g,1.1g,5.5g
"Grilled Eggplant & Hummus Lavash",163,9.5g,2.4g,0g,11.2mg,379.2mg,15.5g,11.1g,2.3g,6.5g
"Greek Style Roasted Carrot & Pepper Saute",122,8.7g,0.7g,0g,0mg,123.9mg,10.9g,2.8g,4.8g,1.3g
"Mint Couscous",96,0.1g,0g,0g,0mg,119mg,19.9g,1.2g,0.1g,3.3g
"Moroccan-Style Roasted Potatoes",140,8.4g,0.7g,0g,0mg,449.5mg,14.7g,1.7g,1g,1.8g
"Roasted Peppers & Peas w/ Dill",87,3.9g,0.5g,0g,0mg,226.8mg,10.5g,3.1g,3.4g,3.2g
"Izmir Kofte (Turkish Lamb Meatballs)",246,16.3g,7.1g,0.3g,90.9mg,432.5mg,11.2g,1.1g,2.6g,13.2g
"Moroccan Green Pea & Artichoke Salad",166,15g,1g,0g,0mg,344.4mg,6.6g,1g,1g,1.9g
"Htipiti",62,4.6g,1.9g,0g,10mg,286.2mg,3.5g,0.8g,1.7g,2.3g
"Hummus",65,5g,0.7g,0g,0mg,190mg,4g,1.3g,0g,1.6g
"Onion Dip",62,5.3g,2.8g,0.2g,16.2mg,213mg,2.9g,0.2g,1.1g,0.9g
"Tzatziki Sauce",21,0.5g,0.4g,0g,2.7mg,12.3mg,1.3g,0g,1.1g,2.7g
"Grecian Style Shrimp w/ Grilled Zucchini",104,7g,0.5g,0g,48.5mg,550.6mg,4.4g,1.2g,1.6g,6.3g
"Greek Chickpeas, Orange, Lemon, & Celery Saute",103,6g,0.5g,0g,0mg,212.1mg,10g,3.1g,1g,3.2g
"Tomato & Fresh Basil Soup",37,1.5g,0.1g,0g,0mg,477.8mg,6g,2.1g,2.8g,1.3g
"Apricot Almond Cookie",247,13.6g,7.5g,0.5g,36.4mg,115.7mg,30.8g,0.8g,17g,2.8g
"Orecchiette & Cannellini Beans w/ Pesto",252,8.9g,1.1g,0g,27.4mg,971.9mg,35.9g,5.1g,2.7g,8.2g
"Spiralini w/ Sausage & Peppers",314,15.6g,8.4g,0.4g,59.4mg,467.8mg,30.7g,2g,2.5g,12.2g
"Smoked Chicken & Pesto Pizza",285,16.9g,4.3g,0.1g,36.8mg,422.2mg,23.4g,1.6g,1.4g,11.8g
"Cheese Pizza",156,5.6g,1.8g,0g,8.4mg,347.4mg,21.2g,1g,0.4g,7.1g
"Pepperoni Pizza",195,8.5g,3.8g,0.1g,21.7mg,489.3mg,21.2g,0.9g,0.4g,9.7g
"Caesar Salad",127,8.3g,1.9g,0g,4.7mg,299.8mg,8.8g,0.6g,0.5g,4.3g
"Mediterranean Garden Salad",56,5g,0.9g,0g,1.6mg,209.5mg,2.7g,0.7g,0.9g,0.9g
"Beef Lavash",143,9.4g,2.7g,0g,11.2mg,304.8mg,10.3g,9.5g,1.1g,5.5g
"Grilled Eggplant & Hummus Lavash",163,9.5g,2.4g,0g,11.2mg,379.2mg,15.5g,11.1g,2.3g,6.5g
"Greek Style Roasted Carrot & Pepper Saute",122,8.7g,0.7g,0g,0mg,123.9mg,10.9g,2.8g,4.8g,1.3g
"Mint Couscous",96,0.1g,0g,0g,0mg,119mg,19.9g,1.2g,0.1g,3.3g
"Moroccan-Style Roasted Potatoes",140,8.4g,0.7g,0g,0mg,449.5mg,14.7g,1.7g,1g,1.8g
"Roasted Peppers & Peas w/ Dill",87,3.9g,0.5g,0g,0mg,226.8mg,10.5g,3.1g,3.4g,3.2g
"Izmir Kofte (Turkish Lamb Meatballs)",246,16.3g,7.1g,0.3g,90.9mg,432.5mg,11.2g,1.1g,2.6g,13.2g
"Moroccan Green Pea & Artichoke Salad",166,15g,1g,0g,0mg,344.4mg,6.6g,1g,1g,1.9g
"Htipiti",62,4.6g,1.9g,0g,10mg,286.2mg,3.5g,0.8g,1.7g,2.3g
"Hummus",65,5g,0.7g,0g,0mg,190mg,4g,1.3g,0g,1.6g
"Onion Dip",62,5.3g,2.8g,0.2g,16.2mg,213mg,2.9g,0.2g,1.1g,0.9g
"Tzatziki Sauce",21,0.5g,0.4g,0g,2.7mg,12.3mg,1.3g,0g,1.1g,2.7g
"Grecian Style Shrimp w/ Grilled Zucchini",104,7g,0.5g,0g,48.5mg,550.6mg,4.4g,1.2g,1.6g,6.3g
"Greek Chickpeas, Orange, Lemon, & Celery Saute",103,6g,0.5g,0g,0mg,212.1mg,10g,3.1g,1g,3.2g
"Tomato & Fresh Basil Soup",37,1.5g,0.1g,0g,0mg,477.8mg,6g,2.1g,2.8g,1.3g
"Apricot Almond Cookie",247,13.6g,7.5g,0.5g,36.4mg,115.7mg,30.8g,0.8g,17g,2.8g
